original_paper	cite_titles	links
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	Analysis of shared heritability in common disorders of the brain	https://www.science.org/doi/abs/10.1126/science.aap8757
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	Innate immune activation in neurodegenerative disease	https://www.nature.com/articles/nri3705
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	Identification of novel risk loci, causal insights, and heritable risk for Parkinson's disease: a meta-analysis of genome-wide association studies	https://www.thelancet.com/journals/laneur/article/PIIS1474-4422(19)30320-5/abstract
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci	https://www.nature.com/articles/ng.3955
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	Nigrostriatal tau pathology in parkinsonism and Parkinson's disease	https://academic.oup.com/brain/article-abstract/147/2/444/7450928
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	Large-scale meta-analysis of genome-wide association data identifies six new risk loci for Parkinson's disease	https://www.nature.com/articles/ng.3043
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease	https://www.nature.com/articles/ng.2802
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	State of play in amyotrophic lateral sclerosis genetics	https://www.nature.com/articles/nn.3584
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	[HTML][HTML] Lipopolysaccharide-induced neuroinflammation as a bridge to understand neurodegeneration	https://www.mdpi.com/1422-0067/20/9/2293
Imputation of sequence variants for identification of genetic risks for Parkinson's disease:...	α-Synuclein in Parkinson's disease	https://perspectivesinmedicine.cshlp.org/content/2/2/a009399.short
Genetic variants for head size share genes and pathways with cancer	Neural cell competition sculpting brain from cradle to grave	https://academic.oup.com/nsr/article-abstract/12/5/nwaf057/8026888
Genetic variants for head size share genes and pathways with cancer	Association of mitochondrial DNA copy number with brain MRI markers and cognitive function: a meta-analysis of community-based cohorts	https://www.neurology.org/doi/abs/10.1212/WNL.0000000000207157
Genetic variants for head size share genes and pathways with cancer	[HTML][HTML] Genetic Insights into Head-to-Body Ratios Via Deep Learning-Based Image Segmentation and Implications for Common Diseases	https://www.nature.com/articles/s41467-025-67578-8
Genetic variants for head size share genes and pathways with cancer	[HTML][HTML] Integrative multi-OMICs identifies therapeutic response biomarkers and confirms fidelity of clinically annotated, serially passaged patient-derived xenografts …	https://www.mdpi.com/2072-6694/15/1/259
Genetic variants for head size share genes and pathways with cancer	MicroRNA-eQTLs in the developing human neocortex link miR-4707-3p expression to brain size	https://elifesciences.org/articles/79488
Genetic variants for head size share genes and pathways with cancer	[HTML][HTML] Structural brain differences in the Alzheimer's disease continuum: insights into the heterogeneity from a large multisite neuroimaging consortium	https://www.sciencedirect.com/science/article/pii/S2451902224002076
Genetic variants for head size share genes and pathways with cancer	[HTML][HTML] Impaired brain growth in children perinatally infected with chikungunya	https://www.sciencedirect.com/science/article/pii/S0887899426001384
Genetic variants for head size share genes and pathways with cancer	Genomics and Transcriptomics of Alzheimer Disease	https://link.springer.com/chapter/10.1007/978-3-031-80849-4_13
Genetic variants for head size share genes and pathways with cancer	A role for the male germline in the expansion of the mammalian brain	https://www.biorxiv.org/content/10.1101/2025.09.15.676184.abstract
Genetic variants for head size share genes and pathways with cancer	[HTML][HTML] Adult head circumference and the risk of cancer: a retrospective cohort study	https://link.springer.com/article/10.1007/s10552-025-01966-9
Optimizing short-format training: an international consensus on effective, inclusive, and...	The five pillars of computational reproducibility: bioinformatics and beyond	https://academic.oup.com/bib/article-abstract/24/6/bbad375/7326135
Optimizing short-format training: an international consensus on effective, inclusive, and...	[HTML][HTML] Welcoming more participation in open data science for the oceans	https://www.annualreviews.org/content/journals/10.1146/annurev-marine-041723-094741
Optimizing short-format training: an international consensus on effective, inclusive, and...	A teaching and training framework to promote findable, accessible, interoperable, and reusable data generation in agriculture	https://academic.oup.com/database/article-abstract/doi/10.1093/database/baaf034/8120069
Optimizing short-format training: an international consensus on effective, inclusive, and...	The Influence of Communication on Digital Humanities Training	https://www.taylorfrancis.com/chapters/oa-edit/10.4324/9781003327677-24/influence-communication-digital-humanities-training-menno-van-zaanen-mmasibidi-setaka-anelda-van-der-walt
Optimizing short-format training: an international consensus on effective, inclusive, and...	Shifting institutional culture to develop climate solutions with Open Science	https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.11341
Optimizing short-format training: an international consensus on effective, inclusive, and...	[PDF][PDF] Ten Simple Rules to Increase the Usability of Earth Observation Mission Datasets	https://essopenarchive.org/doi/pdf/10.22541/essoar.176892205.56393151/v2?onload=true
Optimizing short-format training: an international consensus on effective, inclusive, and...	[PDF][PDF] Email: rochelle-dot-tractenberg-at-gmail-dot-com	https://osf.io/download/7d2yx
Optimizing short-format training: an international consensus on effective, inclusive, and...	[PDF][PDF] Shifting institutional culture to develop climate solutions with Open Science	https://www.researchgate.net/profile/Erin-Robinson-18/publication/374067274_Shifting_institutional_culture_to_develop_climate_solutions_with_Open_Science/links/66fb1d3c869f1104c6c165fa/Shifting-institutional-culture-to-develop-climate-solutions-with-Open-Science.pdf
